timestamp,test_id,nnodes,tasks_per_node,collective_type,mpi_lib,mpi_lib_version,libswing_version,CUDA,output_level,MPI_Op,notes
2025_02_28___18_42_51,3,64,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___18_42_02,0,256,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___18_42_02,1,256,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___18_43_06,0,128,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___18_42_02,2,256,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___18_42_02,3,256,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___18_43_06,1,128,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___18_43_06,2,128,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___18_43_06,3,128,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_35,0,16,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_17,0,8,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_28_43,0,2,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_35,1,16,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_28_43,1,2,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_28_43,2,2,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_29_03,0,4,1,ALLREDUCE,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_35,2,16,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_29_17,1,8,1,ALLGATHER,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
2025_02_28___22_28_43,3,2,1,REDUCE_SCATTER,CRAY_MPICH,8.1.29,1.0.0,false,all,MPI_SUM,null
2025_02_28___22_29_17,2,8,1,BCAST,CRAY_MPICH,8.1.29,1.0.0,false,all,null,null
