# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
30001, 30001, 29859
4827, 4757, 4827
4778, 4778, 4640
5368, 5338, 5368
4217, 4217, 4183
4278, 4278, 4151
4152, 4152, 4088
4157, 4157, 4053
4248, 4248, 4219
4260, 4076, 4260
4062, 4062, 4049
4163, 4163, 4136
4220, 4220, 4088
4244, 4244, 4235
3999, 3999, 3984
4114, 3977, 4114
4006, 3996, 4006
4133, 4133, 4118
4164, 4164, 4107
4135, 4135, 4115
4049, 4018, 4049
4150, 4150, 4115
4196, 4196, 4069
4110, 4110, 4040
4073, 4073, 4021
4046, 4046, 3993
4339, 4339, 4246
4189, 4189, 4106
4151, 4151, 4142
4111, 4047, 4111
4216, 4216, 4152
4113, 4113, 4053
4025, 4005, 4025
4061, 3987, 4061
4139, 4092, 4139
4162, 4162, 4056
4245, 4245, 4120
4089, 4037, 4089
4041, 3990, 4041
3991, 3991, 3965
4146, 4111, 4146
4126, 4113, 4126
4125, 4125, 4034
4100, 4100, 4087
4064, 4003, 4064
4018, 4018, 4006
3994, 3971, 3994
4126, 4126, 4084
4104, 4104, 4055
4244, 4244, 4168
4112, 4112, 4065
4070, 4070, 3992
4063, 4063, 3977
4150, 4137, 4150
4037, 4020, 4037
4070, 4070, 4053
4146, 4146, 4041
4057, 4057, 3971
4189, 4189, 4100
4143, 4143, 4094
4091, 4091, 4045
4127, 4095, 4127
4025, 4025, 3989
4139, 4139, 4098
4030, 4030, 4018
4069, 4069, 4054
4116, 4116, 4034
4128, 4098, 4128
4034, 4034, 4009
4106, 4089, 4106
4062, 4062, 4002
4010, 4010, 3981
4005, 4002, 4005
4164, 4164, 4164
4039, 4025, 4039
4065, 3996, 4065
4029, 3989, 4029
4088, 4061, 4088
4102, 4026, 4102
4171, 4161, 4171
4247, 4247, 4182
4096, 4096, 4049
4064, 4064, 4029
4050, 4050, 3992
4054, 4054, 4045
4126, 4101, 4126
4127, 4087, 4127
8333, 8333, 8323
4263, 4209, 4263
4144, 4144, 4112
4073, 4073, 4060
4020, 4020, 3995
4084, 4084, 4020
4188, 4188, 4132
4193, 4193, 4151
4014, 4014, 3932
3994, 3977, 3994
3979, 3979, 3972
4120, 4120, 4048
4051, 4051, 3979
4170, 4170, 4155
4050, 4037, 4050
4136, 4136, 4095
4144, 4144, 4076
4306, 4306, 4229
4041, 4041, 4029
4052, 4052, 3987
4306, 4306, 4191
4135, 4135, 4038
4089, 4089, 4046
4027, 3996, 4027
4092, 4080, 4092
4018, 4018, 3999
4043, 4026, 4043
4042, 4042, 3961
4058, 4052, 4058
4077, 4047, 4077
4153, 4153, 4087
4025, 4023, 4025
4047, 4026, 4047
4090, 4090, 3975
4161, 4161, 4135
4064, 4064, 4018
4084, 4084, 4063
4054, 4045, 4054
4051, 3989, 4051
4096, 4053, 4096
4086, 4079, 4086
4073, 4073, 4015
4085, 4085, 4017
4111, 4111, 4032
4194, 4194, 4084
4162, 4162, 4079
4313, 4313, 4176
4244, 4244, 4191
4064, 4064, 4003
4121, 4121, 4052
4058, 4058, 4009
4052, 4052, 4038
4113, 4113, 4061
4064, 4064, 3979
4039, 4039, 3979
4025, 3970, 4025
4112, 4112, 4040
4092, 4087, 4092
4061, 4061, 4013
4120, 4120, 4014
4132, 4132, 4014
4173, 4173, 4146
4043, 4043, 4016
4081, 4054, 4081
4123, 4121, 4123
4033, 4020, 4033
4067, 4060, 4067
4051, 4051, 4029
4088, 4088, 4086
4100, 4100, 4013
4231, 4231, 4120
4115, 4115, 4049
3983, 3983, 3957
4061, 4061, 4026
4222, 4222, 4169
4156, 4156, 4058
8334, 8268, 8334
4056, 4056, 4047
4274, 4274, 4194
4109, 4109, 4031
5180, 5180, 5101
4199, 4199, 4099
4024, 3996, 4024
4002, 4002, 4001
4070, 4024, 4070
4038, 4038, 3998
4134, 4134, 4128
4008, 3996, 4008
4171, 4165, 4171
4134, 4134, 4031
4107, 4093, 4107
3992, 3989, 3992
4060, 4060, 4050
4115, 4005, 4115
4109, 4052, 4109
4013, 4013, 4011
4098, 4098, 4093
4003, 3965, 4003
8364, 8308, 8364
4068, 4026, 4068
4206, 4206, 4125
4275, 4275, 4232
4113, 4113, 4041
4130, 4130, 4010
4126, 4126, 4094
4081, 4081, 4073
4127, 4127, 4043
4204, 4204, 4106
4093, 4093, 4033
4054, 4054, 4046
4123, 4123, 4053
4139, 4139, 4100
4050, 4048, 4050
4011, 3927, 4011
4032, 4016, 4032
4123, 4123, 4089
3994, 3994, 3972
4025, 3978, 4025
4078, 4078, 4001
4036, 3999, 4036
4030, 4005, 4030
4068, 4050, 4068
4119, 4098, 4119
4105, 4105, 4086
4059, 4059, 4001
4136, 4136, 4063
4058, 4005, 4058
4070, 4070, 4043
4152, 4149, 4152
4045, 4045, 3996
4053, 4053, 4046
4058, 4058, 4031
4151, 4151, 4080
4029, 4029, 4012
4132, 4132, 4111
4042, 4042, 3979
4024, 4024, 4002
4186, 4186, 4122
4170, 4170, 4148
5134, 5056, 5134
4085, 4085, 4078
4008, 4008, 3954
4179, 4179, 4136
4139, 4139, 4070
4099, 4099, 4085
4098, 4019, 4098
4033, 3979, 4033
4048, 4041, 4048
3965, 3965, 3921
4024, 4024, 3998
4143, 4143, 4078
4189, 4189, 4127
4176, 4176, 4059
4023, 4023, 4008
4052, 4052, 4012
4157, 4157, 4078
4195, 4195, 4075
4104, 4100, 4104
3989, 3965, 3989
4102, 4085, 4102
4146, 4146, 4087
4071, 4017, 4071
4019, 4019, 3961
4156, 4156, 4148
4052, 4052, 3998
4127, 4113, 4127
4085, 4073, 4085
4066, 4045, 4066
4018, 4018, 3991
4139, 4139, 4104
4008, 3961, 4008
4008, 4008, 4005
3996, 3996, 3975
