# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
554500, 551830, 554500
202605, 202605, 202216
122012, 122012, 122009
148813, 148813, 148772
121906, 121906, 121824
121286, 121286, 121032
121568, 121568, 121475
121201, 121201, 121153
120899, 120831, 120899
120884, 120884, 120775
121124, 121124, 121002
120574, 120574, 120485
121131, 121131, 120942
120909, 120909, 120804
120884, 120884, 120841
121015, 121015, 120945
120952, 120952, 120905
121036, 121036, 120878
120763, 120763, 120644
120962, 120962, 120826
120974, 120974, 120878
120948, 120948, 120936
121037, 121037, 120875
120665, 120665, 120540
120939, 120939, 120739
120674, 120674, 120574
120707, 120666, 120707
120883, 120853, 120883
121042, 120946, 121042
120657, 120657, 120554
125331, 125268, 125331
120847, 120753, 120847
120784, 120784, 120705
120905, 120905, 120653
120691, 120661, 120691
120611, 120601, 120611
120424, 120401, 120424
120871, 120737, 120871
120547, 120486, 120547
120644, 120644, 120552
120687, 120687, 120653
120948, 120948, 120861
120604, 120604, 120557
120496, 120481, 120496
120550, 120513, 120550
120371, 120371, 120285
120870, 120870, 120783
120757, 120757, 120608
120789, 120789, 120636
120648, 120611, 120648
121121, 121045, 121121
120918, 120918, 120728
120626, 120626, 120615
120531, 120531, 120494
120900, 120900, 120783
120768, 120768, 120643
121279, 121226, 121279
120446, 120341, 120446
124110, 124027, 124110
120465, 120465, 120354
120557, 120557, 120479
120185, 120185, 120091
120592, 120475, 120592
120099, 120099, 120092
120873, 120873, 120719
120703, 120703, 120587
129739, 129739, 129471
120721, 120721, 120684
120849, 120719, 120849
120676, 120658, 120676
123062, 123062, 122917
120442, 120442, 120317
120628, 120628, 120351
120303, 120303, 120224
120584, 120584, 120454
120666, 120666, 120527
120494, 120439, 120494
121638, 120524, 121638
120499, 120374, 120499
120337, 120337, 120280
120279, 120279, 120251
121072, 121072, 120168
120247, 120247, 120192
120251, 120251, 120090
120161, 120101, 120161
124014, 124014, 123940
120771, 120771, 120649
120578, 120578, 120421
120205, 120205, 120122
120131, 120131, 119957
120498, 120498, 120472
120325, 120325, 120112
121070, 121070, 121038
120131, 120131, 120069
120224, 120224, 120129
120238, 120238, 120108
120143, 120143, 120043
120642, 120642, 120398
122261, 122238, 122261
120601, 120601, 120427
120349, 120349, 120306
120456, 120456, 120438
120409, 120409, 120358
119904, 119895, 119904
120290, 120285, 120290
120214, 120214, 120125
120204, 120204, 120100
120396, 120396, 120129
120251, 120197, 120251
120336, 120336, 120307
120412, 120396, 120412
120227, 120227, 120122
120278, 120278, 120207
123536, 123536, 123447
119885, 119884, 119885
120544, 120489, 120544
120211, 120211, 120096
120445, 120445, 120408
120421, 120421, 120412
120467, 120467, 120458
120475, 120475, 120415
120134, 120134, 120007
120569, 120470, 120569
120387, 120387, 120386
120447, 120447, 120301
121608, 121608, 121505
120400, 120400, 120390
120163, 120163, 120139
120315, 120315, 120228
120142, 120142, 119956
120524, 120524, 120411
120267, 120267, 120116
120344, 120344, 120239
120907, 120907, 120729
120072, 120072, 119931
120684, 120684, 120577
120471, 120471, 120406
120280, 120201, 120280
120063, 120063, 120035
120734, 120734, 120564
126828, 126828, 126822
120701, 120605, 120701
120434, 120414, 120434
120030, 119997, 120030
120581, 120581, 120449
120580, 120580, 120407
120502, 120485, 120502
120200, 120200, 120199
120112, 120112, 120055
120438, 120438, 120437
120159, 120159, 120039
120312, 120312, 120146
120230, 120230, 120107
120321, 120321, 120252
120129, 120129, 120122
120568, 120568, 120485
122626, 122626, 122561
121040, 120926, 121040
120534, 120396, 120534
120505, 120505, 120477
120323, 120302, 120323
120466, 120466, 120414
120534, 120534, 120472
120340, 120340, 120293
120205, 120205, 120107
120906, 120162, 120906
120285, 120249, 120285
120583, 120495, 120583
190081, 189362, 190081
121295, 121295, 121085
120818, 120818, 120745
120614, 120614, 120598
120781, 120781, 120718
121256, 121256, 121120
120824, 120824, 120725
120498, 120471, 120498
120841, 120841, 120801
120560, 120560, 120528
120661, 120661, 120608
120683, 120683, 120590
120637, 120591, 120637
120796, 120796, 120680
121024, 121024, 120810
120901, 120901, 120781
120954, 120954, 120942
120642, 120642, 120505
120485, 120485, 120375
120470, 120470, 120391
120689, 120689, 120590
120977, 120977, 120841
120542, 120542, 120398
120901, 120901, 120896
120669, 120516, 120669
121006, 120906, 121006
121003, 120949, 121003
124381, 124381, 124161
120656, 120656, 120482
120577, 120577, 120425
120133, 120133, 120071
120285, 120285, 120190
120197, 120197, 120126
120688, 120688, 120564
120037, 120037, 119989
119755, 119755, 119752
120233, 120185, 120233
120477, 120477, 120461
120102, 120102, 120062
120379, 120379, 120296
120266, 120266, 120109
120171, 120171, 120111
120008, 120008, 119917
120444, 120444, 120379
120150, 120135, 120150
120203, 120203, 120102
119970, 119970, 119969
120181, 120181, 120110
120468, 120468, 120431
120023, 120023, 119782
120478, 120478, 120354
120421, 120421, 120329
120514, 120514, 120241
120306, 120306, 120248
123739, 123640, 123739
120568, 120568, 120485
120462, 120462, 120266
120255, 120255, 120215
120425, 120358, 120425
120323, 120200, 120323
120326, 120326, 120196
119753, 119753, 119658
120197, 120179, 120197
120498, 120498, 120359
120155, 120155, 120120
120280, 120280, 120148
120338, 120338, 120210
120517, 120517, 120308
120337, 120337, 120196
120415, 120399, 120415
120301, 120301, 120233
120242, 120242, 120063
120321, 120238, 120321
119928, 119893, 119928
120188, 120188, 120145
120107, 120107, 120037
120286, 120286, 120247
120491, 120491, 120253
120285, 120219, 120285
119931, 119925, 119931
120518, 120518, 120421
120472, 120472, 120411
124426, 124426, 124281
120130, 120130, 120018
119928, 119928, 119914
121009, 121001, 121009
119848, 119848, 119801
120268, 120268, 120250
120265, 120265, 120246
120399, 120399, 120280
119954, 119954, 119808
120116, 120116, 120042
120147, 120147, 120043
120443, 120443, 120421
120210, 120210, 120110
120204, 120204, 120143
120285, 120285, 120182
120568, 120568, 120389
120611, 120611, 120528
120253, 120253, 120162
120490, 120490, 120432
120676, 120676, 120384
120226, 120226, 120129
120130, 120130, 119965
120098, 120098, 119961
120172, 120172, 120032
120238, 120206, 120238
120172, 120172, 120079
120391, 120391, 120335
120628, 120628, 120374
123503, 123503, 123423
119990, 119990, 119876
120111, 120111, 119928
120297, 120297, 120120
120280, 120280, 120131
119936, 119936, 119858
120426, 120426, 120385
120320, 120320, 120316
120285, 120285, 120190
120505, 120505, 120489
120008, 120008, 119954
120241, 120241, 120014
120333, 120333, 120129
120495, 120495, 120320
119884, 119826, 119884
120270, 120270, 120129
120237, 120237, 120153
119987, 119987, 119924
120232, 120232, 120093
120274, 120274, 120142
119856, 119851, 119856
120480, 120480, 120317
120369, 120369, 120246
120169, 120169, 120012
120574, 120574, 120518
120129, 120129, 120105
120233, 120233, 120222
127001, 127001, 126983
120325, 120325, 120148
120422, 120422, 120198
120386, 120375, 120386
119867, 119867, 119815
120563, 120563, 120521
120408, 120408, 120326
120247, 120241, 120247
120048, 120035, 120048
120399, 120399, 120376
120191, 120191, 120097
120389, 120389, 120135
120104, 120104, 120103
120558, 120465, 120558
120567, 120513, 120567
120540, 120540, 120524
120465, 120465, 120261
