highest,rank0,rank1,rank2,rank3
3235573,1613526,3232338,3235573,1614533
15964,15964,14399,14411,14286
15638,15638,14251,14101,12643
15504,15504,14038,14275,12742
15925,15925,14149,14798,12602
15725,15725,14111,14432,13627
16371,16371,14038,14633,13262
15931,15931,14731,14787,12874
15856,15856,13915,14870,13195
15997,15997,14621,14795,13280
15618,15618,14203,14368,13083
16183,16183,14024,14825,12705
16693,16693,14115,14973,13229
16200,16200,14712,14661,13266
16914,16914,14346,14736,12956
16423,16423,14586,14581,13353
16130,16130,14768,14089,15014
17048,17048,13940,14764,13019
15890,15890,14390,14633,13076
16502,16502,13989,14525,13430
16319,16319,14097,14476,13208
16032,16032,14483,14651,12802
16029,16029,13962,14268,12726
15902,15902,13734,14075,12904
16036,16036,14225,14408,13531
29650,29650,14588,14526,12784
16007,16007,13990,14280,12762
16442,16442,14215,14149,12893
16464,16464,14179,14388,12817
16544,16544,14222,14567,13268
16051,16051,14267,14472,13064
16275,16275,13769,14225,12964
16148,16148,13963,14257,12917
15856,15856,14011,14294,13014
16205,16205,13795,14272,12801
16111,16111,13680,14409,13407
16089,16089,13951,14305,12990
15817,15817,14113,14230,12892
15637,15637,13739,14275,12804
16008,16008,13846,14212,12920
16048,16048,14177,14235,12946
15888,15888,13794,14265,12791
15875,15875,13776,14647,12780
15985,15985,14290,14382,12976
15835,15835,13974,14423,13123
16088,16088,13949,14829,12826
16037,16037,13942,14448,12854
16604,16604,13785,14321,13314
16028,16028,14026,14089,12842
16617,16617,14045,14862,12875
16837,16837,14192,14303,12887
15816,15816,13575,14342,12810
16139,16139,14346,14137,13099
16006,16006,14295,14488,13105
15817,15817,14010,14623,12766
15793,15793,13940,14176,12916
16168,16168,14003,14285,13318
15952,15952,14101,14290,12727
16372,16372,14311,14567,12826
16236,16236,13843,14700,13302
16211,16211,14422,15044,13216
16431,16431,14158,14591,13040
16181,16181,14346,14575,13029
15991,15991,14222,14392,13144
16793,16793,15082,14019,13013
16185,16185,13645,14270,13257
15917,15917,13871,14674,12898
15911,15911,14118,14198,13079
16033,16033,13942,14606,12766
15866,15866,13848,14588,13259
15779,15779,13978,14169,13168
16273,16273,14173,14555,15521
16265,16265,14349,14284,12985
15780,15780,13945,14542,12629
15929,15929,14133,14550,13023
15927,15927,13710,14537,12929
