highest,rank0,rank1,rank2,rank3
1702312,1622964,1702312,1639688,1625057
20980,19627,18425,18549,20980
18915,18470,18915,17348,17294
18638,18638,18633,17665,17639
20183,20183,18005,17193,16998
18484,18294,18484,18040,17736
20179,19588,20179,17744,17714
19030,19030,18227,17919,17446
18482,18482,18147,17521,17493
19436,19436,18007,17562,17227
18589,18139,18589,18212,17595
19212,19212,18353,17839,17532
18570,18570,18345,17337,17815
18835,18396,18835,17900,17537
19351,19351,18480,17663,18327
19231,18871,19231,18435,17946
18942,18644,18942,18184,17615
19535,19535,18574,17674,17646
18959,18648,18959,17623,17523
18989,18989,18845,18084,17833
18532,18311,18532,18005,18163
18298,17886,18298,17619,17873
18101,18045,18101,17932,17422
18968,17974,18968,18294,17337
18320,18152,18320,17908,17513
18558,18558,17954,17404,17578
18187,17740,18187,18009,17155
18357,17978,18357,18345,18143
18440,18440,18431,17740,18040
19020,18348,19020,18042,17429
18442,18442,18148,17628,17604
18924,18248,18924,17676,17097
18723,18723,17993,17939,18131
18454,17878,18454,17728,17440
18685,18685,18671,18296,17633
19147,18040,19147,17398,17236
18827,17855,18575,18827,17543
18563,18563,18198,17506,17426
18784,18784,18605,17431,17155
18525,17970,18525,17902,17979
18719,18568,18719,17581,17453
18694,18006,18694,17687,16991
18604,18604,18172,17685,17286
19041,18004,18373,19041,17412
18650,18254,18650,17482,17391
18204,18035,18204,17628,17355
18256,18094,18256,18203,17182
18250,17603,18250,17607,17038
18372,18372,18224,18361,17337
18291,17893,18291,17633,17340
18509,18509,18089,17638,17772
18493,18219,18493,17956,17344
18444,18444,18086,17172,17441
19943,18298,19943,17782,17623
19173,18433,19173,17341,17319
18754,18592,18754,18113,17632
18928,18928,18901,17552,17146
19197,19197,18586,17672,17082
18400,18400,18291,18198,17597
19293,18831,19293,18489,17902
18459,18133,18459,18441,17855
18252,18147,18252,17562,17356
22354,22354,18959,18038,17783
19075,18209,19075,18361,17622
18372,18164,18372,17993,17356
18327,18149,17672,18327,17897
18217,17965,18217,17783,17776
18407,18353,18407,17860,17119
18675,18082,18675,17536,17365
18418,18100,18418,18310,17333
18073,17978,18073,17628,17782
18123,18123,17946,17796,17968
18873,18705,18873,18651,17498
18634,18157,18634,18344,17516
18914,18500,18914,18030,18090
18723,17920,18723,17702,17572
18505,18319,18505,17835,17771
19000,17940,19000,17773,17762
18606,18488,18606,17864,17356
18881,17945,18881,17855,17476
18361,18169,18361,17762,17418
18580,18580,18173,17837,17295
21289,20508,18105,17943,21289
18545,18545,17968,18478,17585
19331,18040,19331,17918,17502
18088,18088,18039,17772,17311
18167,18167,18030,17536,17669
18848,17906,18848,17730,17453
18538,18048,18538,17590,17412
18257,18257,18189,18200,17321
18643,18446,18643,17959,17768
18816,18268,18816,18017,17474
18652,18301,18652,17900,17401
18871,18774,18871,17847,17674
18254,18254,18052,17672,17754
20477,20477,18150,17859,17369
18374,18374,18263,17832,17508
18440,18440,18420,18348,17229
18989,17991,18989,17683,17492
20929,20170,18491,17979,20929
18217,18058,18217,17458,17847
18292,18292,18160,17982,17141
18822,17950,18822,17386,16982
18838,18003,18838,17488,17079
18878,18878,18213,17440,17250
18773,18680,18773,17733,17672
18645,18645,18587,17492,17426
18823,18170,18823,18198,17370
18545,18319,18545,18063,18502
18291,18291,18044,17984,17477
19131,18642,19131,17756,17329
18741,18741,18559,18376,17762
18502,18207,18502,17615,17342
19510,17983,19510,17517,17620
18797,18441,18797,17838,17545
17989,17869,17989,17520,17393
18419,17762,18419,17624,17544
18327,18319,18327,17791,17299
18630,17916,18630,17945,18198
18190,18095,18190,17669,17327
18469,18469,17930,17551,17508
18694,17746,18694,17692,17815
19021,18390,19021,17422,17988
18665,18093,18665,17841,17240
18691,18050,18691,18011,17485
18849,18849,18513,17545,17538
18721,18139,18721,17637,17528
20682,18290,18758,17612,20682
19423,18716,19423,18299,18281
18665,17925,18665,18066,17267
18727,18431,18727,17490,17024
18545,18545,18022,17582,17329
18365,18142,18365,17903,17333
18167,18167,17943,17500,17729
18510,18152,18510,17704,17432
19412,18399,19412,17951,17176
18706,18706,18194,17592,17858
18270,18052,18270,17508,18060
18188,17984,18188,17689,17592
18456,18299,18456,17691,17478
17955,17908,17955,17567,17185
21527,18818,21527,17666,17269
18938,18136,18938,18345,17549
18500,18500,18043,17890,17704
18498,18241,18498,18185,18190
25564,25564,19892,17513,19871
18601,18491,18601,17325,17152
18726,18726,18477,18181,17416
18497,18304,18497,18370,17127
18792,18792,18077,17508,17813
18258,18258,18194,17654,17365
18019,18019,17971,17701,17389
18363,17823,18263,18363,18062
20323,17882,18236,20323,17503
18546,18352,18546,17692,17573
18439,18227,18439,17811,17061
19083,17976,19083,17923,17480
18208,18208,18045,17880,17426
18599,18210,18599,18192,17876
18655,18304,18655,18103,17561
18866,18238,18866,17716,17272
18524,18274,18524,17777,17348
18488,17889,17972,18488,17517
18431,17782,18431,17716,17549
18339,17880,18339,17444,17342
18279,18279,18187,18077,17971
18269,18224,18072,17525,18269
18929,18929,18436,17644,17581
19099,18449,19099,18180,17426
18114,18114,18092,17796,17328
18271,18103,18271,17417,17216
18595,18595,18286,17367,17319
18905,18156,18905,17673,17823
21733,19093,21733,18157,17674
18429,17997,18429,17889,17581
18157,17968,18157,17976,17497
18411,18411,18263,17881,17340
19000,17838,19000,17605,17223
18586,18586,18139,18057,17378
18948,18106,18948,17458,17223
18955,18433,18955,17502,17933
19621,19621,18430,17660,17429
18426,18099,18426,17816,17590
18294,18294,18278,17690,17429
18457,18457,18355,17659,17523
18932,17717,18932,17655,17189
18393,18393,18259,18243,17981
19245,18279,19245,17643,17304
18407,18046,18407,17952,17874
18756,17842,18756,17775,17253
20735,18083,20735,17683,18087
18670,18573,18670,17693,17449
18583,18022,18583,17518,17539
18927,17940,18927,17721,18177
18638,17795,18638,17515,17155
18670,17885,18670,17955,17053
18396,18396,17920,17395,17734
18597,17831,18597,17475,17267
18759,18416,18759,17920,17556
25914,25914,20132,17938,20122
18492,18324,18492,18006,17235
19047,18358,19047,17634,18060
18648,18205,18648,17974,17467
18606,18606,18335,17780,17498
18451,18451,18377,18246,17383
18703,18550,18703,17756,17711
18767,18767,18665,17574,17216
18552,18395,18552,17500,17144
18642,18266,18642,18018,17007
18589,18416,18589,17903,17328
18570,17904,18570,17841,17648
18842,18842,18156,18035,17932
18632,18632,18330,17999,17795
18686,18686,18161,17341,17312
18429,18129,18429,17913,17555
18287,18287,17988,17686,17717
18695,18320,18695,18323,17767
18098,17833,18098,17732,17916
18378,18378,18322,17656,17226
18290,17962,18290,18136,17548
19144,17978,19144,17532,17789
18434,17932,18434,18036,17412
18712,18487,18712,17662,17370
18185,18185,18023,17838,17416
18458,18139,18458,17478,17386
18222,18133,18222,18034,17633
18456,18007,18456,17645,17702
18553,18157,18553,17639,17592
19004,18790,19004,17683,17348
18484,18201,18484,18081,17633
18255,18217,18255,18124,17172
18579,17979,18579,17070,17511
18500,18323,18500,17656,17650
18708,18421,18708,18407,17454
18307,18236,18307,17600,17187
18546,18255,18546,17584,17488
20019,20019,18963,17819,17813
19537,18187,19537,17793,17983
18744,18137,18744,18197,17446
18319,18217,18319,18065,17501
18051,17925,18051,17712,17649
18315,18315,18100,17839,17596
18631,18631,18040,17434,17308
18337,18002,18337,17271,17154
18124,17810,18124,17556,17387
20911,20108,17988,17884,20911
18383,18383,18276,18114,17727
18100,18100,18001,17933,17426
18526,18111,18526,18006,17506
18393,18332,18393,17585,17455
18478,17978,18478,18006,17321
18484,18484,18175,18108,17071
18508,18508,18202,17479,17670
18457,18436,18457,18114,17176
18619,18256,18619,17889,17620
18683,18283,18431,18000,18683
18862,18862,18179,17373,17559
18738,18738,18052,17795,17582
18610,18589,18182,18103,18610
18571,18571,18357,17692,17074
18643,18643,18395,17833,17673
18025,17779,18025,17428,17239
18236,17989,18236,17785,18077
18467,18345,18467,17941,17487
18826,18408,18826,17732,17249
18307,18045,18307,18087,17310
20179,20179,18294,18002,17515
18672,18538,18672,17506,17243
18250,18096,18025,18250,17752
18777,18408,18777,17969,17572
18900,18292,18900,18002,17435
18321,18261,18321,17522,17523
18344,18121,18344,18235,18179
18586,18586,18559,17561,17640
18574,18083,18574,17582,17043
18525,18525,18395,18291,17180
18853,18067,18853,18108,17884
18050,17810,18050,17404,17397
21939,21939,18551,17478,17561
18843,18843,18286,18058,17549
18623,18536,18623,17572,17236
18496,18179,18496,17875,17172
19214,19214,18124,17551,17198
18558,18406,18558,18321,17713
18565,18057,18565,17737,17803
18779,18311,18779,17726,17396
18509,18509,18452,17692,17567
18469,18416,18469,18029,17734
19371,18058,19371,17948,17582
19255,19255,18600,18131,17678
18830,17818,18781,18830,17301
19905,19065,18685,17661,19905
18673,18291,18673,17763,17433
18451,17988,18451,17809,17735
18456,18195,18456,17823,17446
18205,18094,18205,17674,17417
18411,18242,18411,18168,17439
18449,18379,18024,18449,17548
18390,18323,18390,17575,17924
19131,18007,19131,17032,17263
19131,17821,19131,17302,17141
18474,17694,18474,17955,17892
18829,18456,18829,18775,17561
19262,18176,19262,17572,17447
18048,18048,17964,17757,17118
18663,18663,18373,17615,18210
18412,18057,18412,17826,17247
18156,17816,18156,17817,17599
18577,18577,17750,17576,17384
18542,18343,18542,17815,17718
18917,17765,18917,18316,18090
18560,18122,18560,17615,17447
18287,18202,18287,17849,17237
18500,18345,18500,17594,17612
19085,18271,19085,17338,17210
18931,17896,18931,17513,17160
18620,17804,18620,17779,18134
18379,17914,18379,18017,17134
18986,18986,18659,17750,17340
18650,18313,18650,17685,17763
19482,18462,19482,17682,17428
18512,18462,18512,18047,17510
18655,17745,18463,18655,17272
18530,18133,18530,18518,18182
20591,20591,18175,17618,17334
18333,18333,18148,18276,17473
18549,18222,18549,17717,17256
18527,18155,18527,17457,17242
21705,20820,18275,18256,21705
19127,17995,19127,17791,17906
18521,18365,18521,18427,17562
19236,18065,19236,17593,18554
18706,18073,18706,18007,17749
18376,18376,18300,17503,17349
18574,18310,18139,18574,17359
18545,18054,18545,18102,17579
18602,18602,18367,18003,17576
18996,18848,18996,18466,17517
19243,18848,19243,18044,18159
18317,18175,18317,17829,17483
19610,18080,19610,17648,17777
18368,18340,18368,17612,18001
19319,18442,19319,17830,17192
18538,18209,18538,18121,17076
18627,18264,18627,18393,17127
19220,18006,19220,17200,17131
18158,18158,18110,18041,17246
18482,18129,18482,17517,17281
18406,18406,18265,17642,17498
18017,17970,18017,17812,17600
18238,17843,18238,18059,17712
