highest,rank0,rank1,rank2,rank3
1757503,1689899,1757503,1698337,1687114
55744,55744,53272,52392,52266
54381,54381,52420,53315,52685
55039,55039,53838,54290,51555
49623,49623,49443,49292,49224
50607,50607,50043,49286,48901
51428,51166,51428,50988,50379
51553,50754,51553,50673,51335
51811,51745,51811,49294,48737
55626,52551,52976,55626,52241
54128,54128,48323,50801,49765
51222,51222,50591,51194,49022
51381,51232,51381,49018,48904
53773,53773,50408,49791,49786
52846,51252,52846,51240,51453
51775,51428,51775,49942,50396
51973,51199,51973,50951,50189
52446,51006,50614,52446,49380
53536,53536,51210,49683,49255
50970,50970,50187,49522,48720
51488,51488,48796,49468,49388
52195,52195,52158,49533,48548
51143,51143,50900,50044,49529
51762,51762,51003,51002,51276
52233,52233,50377,49800,50502
51849,51849,49967,49465,50163
51997,51997,49733,50871,49954
55841,54095,55841,50234,49378
55278,55278,50982,52387,50874
52442,52442,51917,50596,50472
51854,51854,51222,51433,49552
53914,52105,50428,50951,53914
52352,52352,50579,50573,51479
53250,53250,51777,51393,51381
52207,52207,50532,49939,50143
51984,51924,51984,49895,49790
51953,51620,51953,49978,50477
52370,52370,51515,50285,50061
52135,52135,51021,49734,50050
52616,52575,51200,52411,52616
53725,53725,51645,49005,49970
53156,53156,49992,49185,49002
51833,51833,50790,50040,50480
52550,52550,51248,50287,50366
51897,51271,51897,50590,49859
54947,54947,51568,50226,49675
51482,51482,50829,51456,50508
52027,52027,49819,50248,49920
51200,51200,50732,49907,49924
52891,51373,51108,52891,49687
51940,51940,50660,51413,50948
51650,51650,51044,50974,50706
53230,51749,53230,50785,50820
51746,51746,49819,48770,48849
52504,52504,50717,50892,49367
52369,52369,50292,50470,50956
52736,52736,52095,52530,50421
52332,52332,50091,49187,48999
52393,52393,51425,51147,49987
51622,51622,50994,51535,51029
51199,51199,50965,50805,49963
51248,51248,50324,50208,49761
52829,52829,51225,50692,50573
53499,53499,52087,50436,50157
59014,59014,54550,51449,52505
51594,51594,50669,50538,49861
51815,51675,51258,51815,49343
51693,51693,50165,51620,51227
53067,53067,51441,52265,51424
52456,52456,51676,49374,49757
51729,51729,51241,51156,50330
54037,51799,54037,51795,51338
51070,51070,49773,49929,50737
52171,51976,52171,49781,49761
52853,52853,51505,51235,50399
57113,54953,57113,52837,51758
51704,50632,51704,50630,50549
51965,51965,50786,50302,49560
52551,52551,51764,51258,50236
52466,52466,51543,49434,48903
51442,51026,51442,50577,50649
52265,52265,51119,48906,48326
55783,55783,54007,51681,51044
53034,53034,51807,50333,50551
51495,50712,50404,51495,49595
50863,50674,50863,49951,49580
52624,51298,51164,52624,50907
53397,53397,52767,50979,50643
51690,51690,51265,49590,49602
52421,52421,50253,49780,49890
51483,51483,50607,50260,49103
51725,51725,51642,50037,49717
51693,51693,50031,49967,50787
55033,52065,50124,55033,53247
52255,52255,51072,50457,50825
51919,51919,51652,50679,49720
51556,50466,49150,51556,49887
52093,52093,50874,51375,50504
52479,52479,51524,50774,50129
52240,52240,51230,51431,50783
58983,53479,58983,53361,51044
52794,52260,52794,49849,49331
51932,51932,50762,51133,50564
52046,52046,51007,50872,50336
51614,51614,51532,50951,49978
51508,51508,51039,49536,50210
51904,51904,51838,51167,50212
51775,51775,51358,51594,50119
51956,51956,50781,50011,49647
52477,52477,51320,51823,50401
53188,53188,50776,49094,48402
51457,51457,50849,50884,51133
52599,52599,50787,50675,50280
51950,51950,51874,50368,49928
51126,50884,51126,49937,48898
52062,52062,51083,50624,49890
51683,51683,50389,50737,50633
51136,50612,51136,50755,50891
58661,51534,52533,58661,54272
52414,52414,51403,50081,49518
52550,52550,51591,50299,50233
51750,51750,50998,50864,50012
51348,51348,50879,50530,49188
51775,51775,51179,51031,49330
52146,52146,50470,50727,50309
52137,51630,50123,52137,51716
51014,51014,50364,49580,49108
51979,51979,50668,49598,49889
53316,53316,51105,51712,50619
52098,51748,52098,51108,49630
51455,51455,49634,50651,49704
52222,52222,51208,50533,49750
52365,52365,51369,51245,50421
53447,53447,51555,50876,51306
51347,51347,50898,49959,49973
53446,53446,52552,51136,50240
55560,53548,55560,49994,49560
52830,52830,51598,51184,49113
51698,51698,50730,49609,49102
52111,52111,51627,50654,50530
52566,52055,51701,51419,52566
52468,52468,51089,49346,49337
52755,52755,51690,50320,49679
51839,51839,51397,49936,49976
53077,52603,53077,51081,51162
51789,51789,51412,49493,49146
52077,50661,52077,51068,50062
52438,52438,51855,50817,49866
52884,52884,52511,52513,51968
51502,50649,51502,51051,50075
52023,52023,50740,50315,49580
52507,52507,51825,50950,49932
53467,53467,51646,50813,51275
51795,51795,50586,50135,50124
54910,54910,51177,50364,49470
52240,52240,51247,50994,51350
53119,53119,52500,51327,49729
50507,50507,49309,50134,49900
53786,53207,51460,53786,50717
51510,51510,51419,50201,49620
52510,52510,51223,50615,50289
51303,51303,50463,50491,50191
53337,53337,51521,50452,50569
53317,53317,51405,51249,50160
52458,52458,50457,50866,49725
51635,51635,50730,50901,49526
52035,51517,50961,52035,51258
52700,52700,52572,49666,50022
51281,51281,50240,51188,49877
52309,52309,50416,50141,49183
53868,53868,51284,49892,49178
52467,51149,52467,49878,49884
51613,51613,51535,50012,49413
59440,59440,55150,50164,49040
52021,52021,50895,50602,49552
51905,51905,51225,48829,48460
51159,51159,50074,50646,50086
51736,51736,50071,48693,50318
52662,51988,52662,51402,50635
52013,50839,52013,51197,49611
51555,51555,50971,51295,50266
52369,52369,50277,50123,49649
53122,53122,51081,51360,50414
52922,52922,50942,49160,48799
55000,52481,55000,50219,50094
52256,50914,52256,50478,50677
53116,53116,51566,50131,50053
52510,52510,51459,49588,49174
51918,51918,51640,49940,49463
51698,51698,51083,51301,50138
51583,51583,50805,51390,50745
52531,52531,51307,49121,48990
51624,51620,51624,50297,50121
52031,52031,51037,49713,49382
52052,51947,52052,50674,49495
51494,51494,51056,50164,49434
52341,52341,51167,49562,49182
53448,53448,51231,50671,49723
51816,51816,51604,50771,50656
52576,52576,51327,49745,49348
52661,52661,51896,49795,50012
52583,52583,50625,50725,50315
51413,50581,51413,51372,50393
50872,50872,50002,50837,49203
51642,51642,51637,50760,49379
52597,52597,50513,50649,50978
53112,53112,51714,49967,50193
51712,51157,51712,49618,50273
52331,52147,52047,52331,50553
53022,52032,52332,53022,50110
52233,52233,50424,50627,50955
53044,53044,51232,49426,48794
52114,52114,52032,50032,49783
53374,53374,51837,51189,49943
52179,52179,51457,50407,49989
51548,51548,51010,49710,49515
51848,51848,51728,50233,49569
52790,52790,52329,50748,50014
51547,51489,49354,51547,49712
52089,52089,50394,50259,49485
52260,52260,51422,50290,49247
52856,52303,52856,50147,49899
51191,51096,51191,50181,50002
52306,52306,51280,50838,49419
52166,52166,51770,50919,49425
51228,51228,50619,49184,49581
51951,51951,50948,49586,49627
55443,52924,55443,51122,51042
52322,52322,50711,50557,49431
51617,51617,50371,50563,51212
50678,50678,50186,50589,49679
53096,52197,51511,51037,53096
50896,50896,50444,50035,50098
51007,51007,50254,50207,49597
51726,51726,50717,50912,50595
52148,52148,50759,50421,49567
52500,52500,51163,49610,50292
