highest,rank0,rank1,rank2,rank3
4362352,1824181,4362352,4358191,4302842
21415,17464,21041,21415,13823
19736,15683,19736,19253,12161
19291,15427,18533,19291,11604
21738,16134,19130,21738,12248
19184,15919,18711,19184,11551
19924,15819,19162,19924,12383
18945,15300,18945,18751,11726
19476,15900,19129,19476,12023
19326,15353,19010,19326,12561
19001,15625,19001,18899,11520
19133,15359,19133,18279,11760
18858,15891,18858,18675,11740
19207,15283,19207,18612,11561
19207,16260,19207,19022,16242
18969,15441,18887,18969,12029
19054,15702,18975,19054,11958
19889,16115,19889,18403,11351
18989,15846,18989,18690,11696
19873,15467,19873,18696,11681
19415,15653,19415,18723,12316
19164,16163,18517,19164,11764
19121,15662,19121,18431,12133
19331,16413,19331,19153,11583
18601,15341,18601,18080,11917
19011,15432,19011,18462,11497
19166,16069,19166,18152,11643
19504,15053,19504,19115,11671
19967,15484,19967,18493,11848
21699,21492,21699,19491,11879
19251,16641,19059,19251,11861
18543,15465,18193,18543,12418
18878,15481,18878,18097,11760
18713,15042,18713,18151,11942
18565,15123,18565,18121,12111
18568,15048,18568,17864,11778
19192,14684,19192,17913,11816
18757,15138,18757,18460,11591
19385,15021,19385,18632,12057
18624,15314,18624,18424,12653
18887,15153,18887,18367,11986
18960,15422,18960,18202,12833
19609,15115,19609,18940,12042
18650,14907,18650,17724,11487
18838,14967,18838,17858,11538
19026,15148,19026,18306,11594
19125,15203,19125,18487,12073
18574,15135,18574,17900,11634
18252,15142,18252,18021,11616
21217,15101,21217,18432,12330
19111,15241,19111,18217,12111
18863,14996,18863,18159,11862
19029,15359,18426,19029,11983
19372,15129,18614,19372,12040
18889,15594,18889,18554,11750
18721,15708,18721,18462,12081
20369,15344,20369,19296,12030
18871,15519,18871,18098,12319
19041,16719,19041,18948,11948
19253,15564,19253,18854,12034
19256,15872,19026,19256,11777
18975,15755,18975,18973,16725
20098,16501,20098,19633,12052
19771,16239,19054,19771,12027
18105,16681,17852,18105,11836
18551,15576,18551,18177,11409
18568,15278,18505,18568,11600
18602,15024,18602,18190,11867
19062,15112,19062,17989,12436
18609,15054,18609,17932,11650
18756,15028,18756,18470,11835
19535,15021,19535,17539,12121
