MPI_Rank,allocation
0,lrdn0063.leonardo.local
1,lrdn0110.leonardo.local
2,lrdn0121.leonardo.local
3,lrdn0153.leonardo.local
4,lrdn0196.leonardo.local
5,lrdn0199.leonardo.local
6,lrdn0234.leonardo.local
7,lrdn0239.leonardo.local
8,lrdn0248.leonardo.local
9,lrdn0259.leonardo.local
10,lrdn0266.leonardo.local
11,lrdn0278.leonardo.local
12,lrdn0287.leonardo.local
13,lrdn0295.leonardo.local
14,lrdn0384.leonardo.local
15,lrdn0389.leonardo.local
16,lrdn0392.leonardo.local
17,lrdn0407.leonardo.local
18,lrdn0467.leonardo.local
19,lrdn0478.leonardo.local
20,lrdn0493.leonardo.local
21,lrdn0502.leonardo.local
22,lrdn0512.leonardo.local
23,lrdn0533.leonardo.local
24,lrdn0540.leonardo.local
25,lrdn0551.leonardo.local
26,lrdn0567.leonardo.local
27,lrdn0571.leonardo.local
28,lrdn0596.leonardo.local
29,lrdn0603.leonardo.local
30,lrdn0624.leonardo.local
31,lrdn0630.leonardo.local
32,lrdn0645.leonardo.local
33,lrdn0710.leonardo.local
34,lrdn0745.leonardo.local
35,lrdn0751.leonardo.local
36,lrdn0776.leonardo.local
37,lrdn0790.leonardo.local
38,lrdn0805.leonardo.local
39,lrdn0823.leonardo.local
40,lrdn0832.leonardo.local
41,lrdn0839.leonardo.local
42,lrdn0842.leonardo.local
43,lrdn0852.leonardo.local
44,lrdn0867.leonardo.local
45,lrdn0873.leonardo.local
46,lrdn0902.leonardo.local
47,lrdn0916.leonardo.local
48,lrdn0918.leonardo.local
49,lrdn0936.leonardo.local
50,lrdn0984.leonardo.local
51,lrdn1025.leonardo.local
52,lrdn1051.leonardo.local
53,lrdn1077.leonardo.local
54,lrdn1112.leonardo.local
55,lrdn1127.leonardo.local
56,lrdn1134.leonardo.local
57,lrdn1157.leonardo.local
58,lrdn1162.leonardo.local
59,lrdn1182.leonardo.local
60,lrdn1256.leonardo.local
61,lrdn1323.leonardo.local
62,lrdn1385.leonardo.local
63,lrdn1483.leonardo.local
64,lrdn1508.leonardo.local
65,lrdn1535.leonardo.local
66,lrdn1561.leonardo.local
67,lrdn1613.leonardo.local
68,lrdn1640.leonardo.local
69,lrdn1663.leonardo.local
70,lrdn1666.leonardo.local
71,lrdn1728.leonardo.local
72,lrdn1733.leonardo.local
73,lrdn1783.leonardo.local
74,lrdn1802.leonardo.local
75,lrdn1818.leonardo.local
76,lrdn1824.leonardo.local
77,lrdn1834.leonardo.local
78,lrdn1847.leonardo.local
79,lrdn1873.leonardo.local
80,lrdn1876.leonardo.local
81,lrdn1892.leonardo.local
82,lrdn1926.leonardo.local
83,lrdn1960.leonardo.local
84,lrdn1984.leonardo.local
85,lrdn2049.leonardo.local
86,lrdn2053.leonardo.local
87,lrdn2068.leonardo.local
88,lrdn2075.leonardo.local
89,lrdn2081.leonardo.local
90,lrdn2095.leonardo.local
91,lrdn2105.leonardo.local
92,lrdn2111.leonardo.local
93,lrdn2116.leonardo.local
94,lrdn2164.leonardo.local
95,lrdn2178.leonardo.local
96,lrdn2196.leonardo.local
97,lrdn2210.leonardo.local
98,lrdn2214.leonardo.local
99,lrdn2243.leonardo.local
100,lrdn2268.leonardo.local
101,lrdn2295.leonardo.local
102,lrdn2312.leonardo.local
103,lrdn2363.leonardo.local
104,lrdn2377.leonardo.local
105,lrdn2414.leonardo.local
106,lrdn2429.leonardo.local
107,lrdn2450.leonardo.local
108,lrdn2469.leonardo.local
109,lrdn2501.leonardo.local
110,lrdn2506.leonardo.local
111,lrdn2524.leonardo.local
112,lrdn2547.leonardo.local
113,lrdn2574.leonardo.local
114,lrdn2618.leonardo.local
115,lrdn2621.leonardo.local
116,lrdn2697.leonardo.local
117,lrdn2740.leonardo.local
118,lrdn2777.leonardo.local
119,lrdn2812.leonardo.local
120,lrdn2835.leonardo.local
121,lrdn2860.leonardo.local
122,lrdn2902.leonardo.local
123,lrdn2918.leonardo.local
124,lrdn2946.leonardo.local
125,lrdn3003.leonardo.local
126,lrdn3029.leonardo.local
127,lrdn3055.leonardo.local
