MPI_Rank,allocation
0,lrdn0007.leonardo.local
1,lrdn0068.leonardo.local
2,lrdn0113.leonardo.local
3,lrdn0125.leonardo.local
4,lrdn0155.leonardo.local
5,lrdn0213.leonardo.local
6,lrdn0226.leonardo.local
7,lrdn0340.leonardo.local
8,lrdn0362.leonardo.local
9,lrdn0379.leonardo.local
10,lrdn0408.leonardo.local
11,lrdn0446.leonardo.local
12,lrdn0464.leonardo.local
13,lrdn0494.leonardo.local
14,lrdn0543.leonardo.local
15,lrdn0554.leonardo.local
16,lrdn0559.leonardo.local
17,lrdn0568.leonardo.local
18,lrdn0591.leonardo.local
19,lrdn0713.leonardo.local
20,lrdn0768.leonardo.local
21,lrdn0866.leonardo.local
22,lrdn0871.leonardo.local
23,lrdn0877.leonardo.local
24,lrdn0899.leonardo.local
25,lrdn0901.leonardo.local
26,lrdn0910.leonardo.local
27,lrdn0927.leonardo.local
28,lrdn0947.leonardo.local
29,lrdn0952.leonardo.local
30,lrdn0964.leonardo.local
31,lrdn0987.leonardo.local
32,lrdn0993.leonardo.local
33,lrdn1001.leonardo.local
34,lrdn1007.leonardo.local
35,lrdn1028.leonardo.local
36,lrdn1036.leonardo.local
37,lrdn1046.leonardo.local
38,lrdn1057.leonardo.local
39,lrdn1106.leonardo.local
40,lrdn1133.leonardo.local
41,lrdn1177.leonardo.local
42,lrdn1188.leonardo.local
43,lrdn1196.leonardo.local
44,lrdn1219.leonardo.local
45,lrdn1225.leonardo.local
46,lrdn1231.leonardo.local
47,lrdn1243.leonardo.local
48,lrdn1265.leonardo.local
49,lrdn1270.leonardo.local
50,lrdn1287.leonardo.local
51,lrdn1292.leonardo.local
52,lrdn1336.leonardo.local
53,lrdn1375.leonardo.local
54,lrdn1399.leonardo.local
55,lrdn1414.leonardo.local
56,lrdn1430.leonardo.local
57,lrdn1431.leonardo.local
58,lrdn1484.leonardo.local
59,lrdn1495.leonardo.local
60,lrdn1507.leonardo.local
61,lrdn1557.leonardo.local
62,lrdn1567.leonardo.local
63,lrdn1617.leonardo.local
64,lrdn1697.leonardo.local
65,lrdn1704.leonardo.local
66,lrdn1713.leonardo.local
67,lrdn1740.leonardo.local
68,lrdn1757.leonardo.local
69,lrdn1768.leonardo.local
70,lrdn1799.leonardo.local
71,lrdn1822.leonardo.local
72,lrdn1843.leonardo.local
73,lrdn1898.leonardo.local
74,lrdn1923.leonardo.local
75,lrdn1931.leonardo.local
76,lrdn1957.leonardo.local
77,lrdn1975.leonardo.local
78,lrdn1999.leonardo.local
79,lrdn2021.leonardo.local
80,lrdn2038.leonardo.local
81,lrdn2048.leonardo.local
82,lrdn2059.leonardo.local
83,lrdn2065.leonardo.local
84,lrdn2074.leonardo.local
85,lrdn2079.leonardo.local
86,lrdn2096.leonardo.local
87,lrdn2104.leonardo.local
88,lrdn2137.leonardo.local
89,lrdn2142.leonardo.local
90,lrdn2205.leonardo.local
91,lrdn2207.leonardo.local
92,lrdn2227.leonardo.local
93,lrdn2246.leonardo.local
94,lrdn2256.leonardo.local
95,lrdn2280.leonardo.local
96,lrdn2286.leonardo.local
97,lrdn2328.leonardo.local
98,lrdn2381.leonardo.local
99,lrdn2391.leonardo.local
100,lrdn2408.leonardo.local
101,lrdn2412.leonardo.local
102,lrdn2431.leonardo.local
103,lrdn2440.leonardo.local
104,lrdn2457.leonardo.local
105,lrdn2468.leonardo.local
106,lrdn2551.leonardo.local
107,lrdn2643.leonardo.local
108,lrdn2883.leonardo.local
109,lrdn2892.leonardo.local
110,lrdn2992.leonardo.local
111,lrdn3000.leonardo.local
112,lrdn3006.leonardo.local
113,lrdn3027.leonardo.local
114,lrdn3034.leonardo.local
115,lrdn3093.leonardo.local
116,lrdn3121.leonardo.local
117,lrdn3130.leonardo.local
118,lrdn3156.leonardo.local
119,lrdn3168.leonardo.local
120,lrdn3186.leonardo.local
121,lrdn3199.leonardo.local
122,lrdn3218.leonardo.local
123,lrdn3233.leonardo.local
124,lrdn3260.leonardo.local
125,lrdn3294.leonardo.local
126,lrdn3319.leonardo.local
127,lrdn3344.leonardo.local
