MPI_Rank,allocation
0,lrdn0105.leonardo.local
1,lrdn0131.leonardo.local
2,lrdn0191.leonardo.local
3,lrdn0237.leonardo.local
4,lrdn0275.leonardo.local
5,lrdn0761.leonardo.local
6,lrdn0797.leonardo.local
7,lrdn0870.leonardo.local
8,lrdn0926.leonardo.local
9,lrdn0959.leonardo.local
10,lrdn0980.leonardo.local
11,lrdn1173.leonardo.local
12,lrdn1192.leonardo.local
13,lrdn1312.leonardo.local
14,lrdn1717.leonardo.local
15,lrdn1719.leonardo.local
16,lrdn1754.leonardo.local
17,lrdn1762.leonardo.local
18,lrdn1865.leonardo.local
19,lrdn1885.leonardo.local
20,lrdn1889.leonardo.local
21,lrdn1897.leonardo.local
22,lrdn1908.leonardo.local
23,lrdn1918.leonardo.local
24,lrdn1936.leonardo.local
25,lrdn1938.leonardo.local
26,lrdn1969.leonardo.local
27,lrdn2000.leonardo.local
28,lrdn2017.leonardo.local
29,lrdn2019.leonardo.local
30,lrdn2043.leonardo.local
31,lrdn2051.leonardo.local
32,lrdn2166.leonardo.local
33,lrdn2184.leonardo.local
34,lrdn2258.leonardo.local
35,lrdn2275.leonardo.local
36,lrdn2309.leonardo.local
37,lrdn2324.leonardo.local
38,lrdn2380.leonardo.local
39,lrdn2432.leonardo.local
40,lrdn2445.leonardo.local
41,lrdn2447.leonardo.local
42,lrdn2473.leonardo.local
43,lrdn2499.leonardo.local
44,lrdn2533.leonardo.local
45,lrdn2611.leonardo.local
46,lrdn2635.leonardo.local
47,lrdn2708.leonardo.local
48,lrdn2727.leonardo.local
49,lrdn2775.leonardo.local
50,lrdn2887.leonardo.local
51,lrdn2912.leonardo.local
52,lrdn2928.leonardo.local
53,lrdn2931.leonardo.local
54,lrdn2941.leonardo.local
55,lrdn2957.leonardo.local
56,lrdn2965.leonardo.local
57,lrdn2971.leonardo.local
58,lrdn2981.leonardo.local
59,lrdn2994.leonardo.local
60,lrdn3001.leonardo.local
61,lrdn3009.leonardo.local
62,lrdn3022.leonardo.local
63,lrdn3045.leonardo.local
