# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
89583, 88833, 88724, 87796, 89583
25918, 25918, 25679, 23955, 23796
26250, 24517, 24151, 26236, 26250
22770, 19646, 20842, 22770, 21515
25172, 25172, 24964, 19787, 19811
18475, 18475, 18329, 17644, 17761
18214, 18214, 18060, 17455, 17614
18273, 18273, 18094, 17576, 17655
18191, 18191, 18112, 17401, 17508
18236, 18236, 18097, 17349, 17441
18121, 18121, 17983, 17835, 17950
17856, 17856, 17730, 17657, 17846
21406, 21314, 21158, 21293, 21406
17835, 17835, 17673, 17629, 17785
17991, 17991, 17873, 17451, 17564
22357, 21473, 22357, 20714, 20808
18538, 18538, 18345, 18155, 18422
18085, 18085, 17909, 17828, 17900
17974, 17974, 17838, 17805, 17854
18244, 18244, 18052, 17735, 17773
18205, 18205, 18094, 18021, 18129
17854, 17854, 17687, 17695, 17716
17890, 17890, 17704, 17773, 17845
17836, 17832, 17652, 17719, 17836
17969, 17969, 17815, 17742, 17787
17808, 17808, 17692, 17637, 17718
18021, 18021, 17792, 17397, 17465
17896, 17896, 17730, 17721, 17825
17839, 17839, 17674, 17554, 17618
17661, 17661, 17474, 17452, 17581
17685, 17492, 17282, 17578, 17685
17908, 17908, 17736, 17632, 17712
18411, 18411, 18245, 17928, 18046
18151, 18151, 18003, 17636, 17719
18276, 18276, 18101, 17811, 17900
17707, 17707, 17578, 17582, 17652
18074, 18074, 17904, 17891, 17969
17835, 17797, 17647, 17701, 17835
17550, 17466, 17282, 17494, 17550
17674, 17674, 17544, 17451, 17529
17716, 17716, 17547, 17619, 17690
17811, 17811, 17615, 17635, 17771
17763, 17763, 17605, 17555, 17647
17830, 17830, 17577, 17556, 17668
17684, 17413, 17257, 17562, 17684
18277, 18277, 18272, 17787, 17810
17819, 17677, 17598, 17768, 17819
18083, 18083, 17842, 17826, 17901
18309, 18309, 18121, 18068, 18153
18126, 18018, 17841, 18050, 18126
17986, 17970, 17852, 17953, 17986
18002, 18002, 17843, 17778, 17822
18529, 18529, 18369, 17721, 17766
18046, 18046, 17893, 17478, 17555
18149, 18149, 18063, 17681, 17646
18035, 18035, 17833, 17807, 17830
18128, 18128, 17968, 17670, 17731
17762, 17592, 17441, 17637, 17762
18032, 18032, 17859, 17840, 17940
18215, 18215, 18011, 17979, 18023
18266, 18266, 18115, 18039, 18072
18004, 17993, 17823, 17990, 18004
18016, 18016, 17806, 17882, 17983
17988, 17988, 17824, 17808, 17911
18107, 18107, 17954, 17773, 17817
18077, 18077, 17913, 17833, 17922
18400, 18400, 18271, 17466, 17553
18028, 18028, 17822, 17901, 17940
18175, 18016, 17805, 18096, 18175
18034, 18034, 17854, 17939, 18023
17713, 17713, 17581, 17644, 17706
17948, 17948, 17722, 17749, 17831
17697, 17621, 17472, 17585, 17697
17965, 17965, 17791, 17505, 17625
17794, 17794, 17645, 17565, 17639
17777, 17777, 17577, 17599, 17654
18086, 18086, 17937, 17890, 17976
18186, 18186, 18038, 17714, 17801
18207, 18207, 17979, 17599, 17643
17900, 17900, 17762, 17708, 17768
18088, 18088, 17908, 17866, 17955
17759, 17759, 17600, 17575, 17599
18030, 18030, 17840, 17830, 17890
18307, 18307, 18110, 17720, 17779
17962, 17897, 17782, 17880, 17962
18466, 18466, 18313, 17976, 18032
18207, 18207, 18032, 17646, 17700
18026, 18026, 17850, 17743, 17808
17769, 17769, 17623, 17636, 17745
17782, 17782, 17613, 17553, 17623
18126, 18126, 17929, 17546, 17599
17955, 17955, 17816, 17902, 17927
17824, 17824, 17634, 17624, 17651
17866, 17866, 17707, 17649, 17749
18023, 17979, 17803, 17958, 18023
18095, 18095, 17899, 17443, 17483
17952, 17952, 17765, 17623, 17689
17732, 17645, 17467, 17636, 17732
17640, 17640, 17442, 17473, 17549
17750, 17709, 17543, 17667, 17750
17580, 17580, 17414, 17478, 17526
18058, 18058, 17894, 17866, 17926
17774, 17774, 17587, 17560, 17617
18024, 18024, 17819, 17730, 17816
42930, 42888, 42648, 42869, 42930
17824, 17740, 17608, 17774, 17824
17889, 17889, 17691, 17751, 17830
18190, 18190, 17992, 17676, 17782
18077, 18077, 17953, 17849, 17937
18099, 18099, 17941, 17892, 17976
18188, 18046, 17857, 18138, 18188
18148, 18148, 17909, 17615, 17681
18432, 18432, 18306, 17874, 17922
18414, 18414, 18186, 17784, 17858
18545, 18545, 18393, 17950, 18049
18255, 18255, 18086, 17774, 17862
17810, 16415, 16280, 17754, 17810
17820, 17820, 17658, 17609, 17696
18053, 18053, 17903, 17610, 17640
18147, 18147, 17990, 17880, 17973
18470, 18470, 18325, 17805, 17904
17879, 17879, 17734, 17763, 17838
18431, 18431, 18296, 17947, 18039
18173, 18173, 18077, 17985, 18072
17840, 17840, 17664, 17706, 17806
17988, 17988, 17844, 17878, 17899
18364, 18364, 18221, 17609, 17670
18132, 18132, 17901, 17965, 18007
17670, 17660, 17528, 17598, 17670
18177, 18177, 17982, 17979, 18062
17827, 17827, 17715, 17796, 17768
18161, 18106, 17907, 18011, 18161
17890, 17890, 17716, 17664, 17782
18014, 17920, 17751, 17919, 18014
18236, 18236, 18082, 17748, 17884
18111, 18111, 17940, 17771, 17851
17941, 17941, 17790, 17680, 17740
18003, 18003, 17835, 17543, 17596
17879, 17879, 17713, 17696, 17800
17857, 17767, 17637, 17768, 17857
18070, 18070, 17909, 17468, 17581
18158, 18158, 17979, 17946, 17999
18108, 18108, 17945, 17777, 17871
20459, 20459, 20359, 19804, 19889
18063, 18027, 17833, 17938, 18063
17960, 17862, 17744, 17858, 17960
18128, 18128, 17953, 17885, 17947
17863, 17788, 17618, 17828, 17863
17642, 16159, 16063, 17565, 17642
17908, 17908, 17767, 17599, 17665
18432, 18432, 18227, 17973, 18086
17964, 17964, 17844, 17801, 17898
18422, 18422, 18251, 17922, 18013
18621, 18621, 18461, 18003, 18126
18094, 18094, 17891, 17781, 17840
17801, 17801, 17665, 17622, 17742
17988, 17988, 17871, 17740, 17810
17918, 16240, 16228, 17806, 17918
18065, 18065, 17876, 17898, 18005
18224, 18224, 18086, 18051, 18114
18361, 18361, 18175, 17759, 17838
18152, 17965, 17826, 18106, 18152
18067, 17909, 17769, 17999, 18067
18527, 18527, 18357, 17849, 17950
18155, 18135, 17964, 18065, 18155
18072, 18072, 17890, 17843, 17901
17955, 17955, 17841, 17810, 17897
18264, 18264, 18111, 17760, 17832
17885, 17885, 17707, 17719, 17795
18031, 18031, 17859, 17862, 17916
17915, 17915, 17770, 17688, 17820
18016, 18016, 17861, 17760, 17888
17657, 17657, 17529, 17508, 17590
17666, 17666, 17482, 17538, 17592
18084, 18084, 17904, 17923, 17988
18495, 18495, 18328, 17962, 18011
17981, 17981, 17840, 17613, 17735
17842, 17842, 17665, 17777, 17835
18191, 18121, 17993, 18134, 18191
17837, 17837, 17687, 17654, 17747
17965, 17965, 17801, 17850, 17938
18306, 18306, 18118, 17705, 17774
17957, 17957, 17799, 17759, 17814
17924, 17924, 17780, 17737, 17844
18184, 18184, 18009, 17954, 18063
17850, 17850, 17679, 17710, 17791
18077, 18077, 17927, 17883, 17964
17906, 17906, 17730, 17658, 17728
18343, 18343, 18175, 17718, 17836
17833, 17742, 17601, 17714, 17833
17767, 17767, 17622, 17639, 17720
18170, 18170, 18021, 17935, 18029
17770, 17581, 17413, 17648, 17770
18257, 18257, 18084, 17697, 17815
18231, 18231, 18047, 18016, 18049
17981, 17981, 17855, 17843, 17955
17950, 17950, 17774, 17626, 17716
17979, 17979, 17828, 17763, 17779
18040, 18040, 17834, 17827, 17900
17749, 17749, 17599, 17574, 17674
17948, 17948, 17832, 17684, 17789
17844, 16317, 16148, 17748, 17844
17955, 17955, 17842, 17447, 17520
18268, 18268, 18095, 18059, 18166
18036, 18036, 17893, 17750, 17846
18469, 18469, 18240, 17958, 18032
17811, 17583, 17432, 17671, 17811
18434, 18434, 18276, 17889, 17983
18016, 18016, 17897, 17752, 17800
17910, 17910, 17791, 17777, 17826
18222, 18222, 18022, 17994, 18043
17850, 17815, 17674, 17763, 17850
18259, 18259, 18075, 17924, 18002
18032, 17958, 17805, 17952, 18032
18301, 18190, 18008, 18179, 18301
17888, 17888, 17727, 17701, 17775
17813, 17716, 17571, 17732, 17813
18154, 18154, 17956, 17834, 17882
18279, 18279, 18083, 17782, 17828
18246, 18246, 18126, 17686, 17749
17889, 17889, 17722, 17706, 17734
18036, 17990, 17846, 17932, 18036
18446, 18446, 18313, 17952, 18067
18238, 18238, 18107, 17515, 17578
18209, 18209, 18070, 17818, 17892
17963, 17936, 17831, 17897, 17963
18246, 18246, 18068, 17699, 17768
18290, 18290, 18091, 17783, 17879
18322, 18322, 18136, 17747, 17835
18146, 18146, 17964, 17879, 17968
18404, 18404, 18190, 17941, 17999
17925, 17855, 17684, 17823, 17925
17956, 17956, 17788, 17656, 17775
17989, 17989, 17785, 17520, 17613
18302, 18302, 18101, 17807, 17879
18413, 18413, 18275, 17872, 18002
18179, 18179, 17965, 17648, 17717
18062, 18062, 17886, 17864, 17963
18117, 18117, 17958, 17788, 17857
17960, 17953, 17810, 17912, 17960
18368, 18368, 18211, 17818, 17904
17908, 17793, 17633, 17862, 17908
18330, 18330, 18138, 17699, 17813
18101, 18101, 17941, 17472, 17556
17843, 17673, 17500, 17818, 17843
17802, 17777, 17607, 17715, 17802
18105, 18105, 17983, 17961, 18095
18283, 18283, 18149, 17839, 17898
18497, 18497, 18358, 17717, 17755
17940, 17780, 17624, 17829, 17940
18327, 18327, 18146, 17747, 17879
18142, 18142, 18002, 17597, 17694
18131, 18131, 17989, 17592, 17668
17821, 17821, 17653, 17730, 17760
18150, 18150, 17956, 17892, 18001
18173, 18173, 18025, 17790, 17892
18296, 18296, 18149, 18117, 18253
18151, 18151, 18024, 17849, 17880
17841, 17803, 17602, 17751, 17841
18121, 17946, 17791, 18014, 18121
17721, 17513, 17356, 17598, 17721
17963, 17963, 17833, 17806, 17918
17765, 17765, 17638, 17450, 17566
20716, 20716, 20565, 20196, 20293
18166, 18166, 17955, 17684, 17749
17597, 17597, 17426, 16303, 16299
17828, 17828, 17679, 17613, 17691
17895, 17895, 17735, 17686, 17756
17785, 17722, 17546, 17694, 17785
18001, 18001, 17849, 17848, 17979
17819, 17819, 17731, 17732, 17795
18073, 18073, 17887, 17617, 17719
17911, 17911, 17762, 17561, 17630
17737, 17737, 17544, 17686, 17715
17844, 16392, 16313, 17818, 17844
17893, 17893, 17741, 17739, 17819
17821, 17821, 17686, 17627, 17700
18083, 18052, 17892, 17996, 18083
17762, 17739, 17605, 17686, 17762
18622, 18622, 18429, 17900, 18008
17918, 17918, 17778, 17806, 17897
18491, 18491, 18308, 17974, 18058
17956, 17956, 17777, 17681, 17645
29827, 29768, 29827, 25021, 25108
22939, 22939, 22616, 21290, 21323
20484, 20484, 20359, 20306, 20381
17636, 17636, 17492, 17416, 17472
17908, 17908, 17731, 17698, 17803
17985, 17985, 17814, 17780, 17810
17549, 17549, 17412, 17383, 17448
17518, 17381, 17253, 17436, 17518
