# highest, rank1, rank2, ..., rankn (time is in ns (i.e. 10^-9 s))
114375, 114375, 110889, 111403, 108766
26934, 26288, 26014, 26934, 26841
25552, 25552, 25354, 23663, 23736
25609, 24255, 25552, 25609, 24306
21362, 21362, 21223, 21009, 21169
20589, 20550, 20470, 20344, 20589
35875, 35853, 35771, 35714, 35875
19837, 17952, 17987, 19740, 19837
20031, 20031, 19940, 19841, 19943
20012, 18510, 18473, 19885, 20012
19864, 18083, 18043, 19711, 19864
20041, 20033, 19818, 19901, 20041
20347, 20347, 20199, 18699, 18718
20398, 20398, 20294, 20150, 20302
19832, 19832, 19775, 19639, 19663
21069, 19885, 21069, 19680, 19815
21069, 21069, 20824, 20126, 20386
19781, 19671, 19514, 19664, 19781
20109, 20109, 19942, 18765, 18781
19801, 18274, 18207, 19795, 19801
19626, 17746, 17706, 19551, 19626
20273, 20273, 20033, 20061, 20070
19778, 19778, 19634, 19588, 19688
20342, 20342, 20186, 19637, 19708
19986, 19986, 19813, 19690, 19770
20250, 20056, 19928, 20145, 20250
19884, 19884, 19712, 19753, 19788
19849, 19849, 19702, 19545, 19655
19983, 19899, 19737, 19944, 19983
20208, 20122, 19994, 20139, 20208
19951, 19951, 19792, 19607, 19678
20013, 19883, 19786, 19910, 20013
20186, 20186, 20060, 19905, 19981
20248, 20248, 20098, 19971, 20015
19930, 19873, 19747, 19885, 19930
20147, 20147, 20002, 20011, 20071
20186, 20186, 20053, 19882, 19967
19802, 19802, 19615, 19704, 19760
20085, 20067, 19887, 20056, 20085
20167, 20167, 19974, 19605, 19660
19755, 19661, 19499, 19705, 19755
20436, 20436, 20254, 19889, 19932
19954, 19954, 19789, 19788, 19808
20000, 20000, 19826, 19702, 19761
19825, 19825, 19689, 19731, 19746
20417, 19769, 19609, 20316, 20417
21329, 21013, 20949, 21272, 21329
20405, 20405, 20193, 19804, 19773
19832, 18330, 18280, 19764, 19832
19893, 19893, 19709, 19649, 19705
19952, 19952, 19804, 19690, 19752
20044, 20044, 19882, 19840, 19899
19838, 19838, 19716, 19502, 19586
19855, 19855, 19668, 18434, 18384
20147, 20147, 20056, 19565, 19630
20407, 20407, 20267, 19822, 19904
19864, 19864, 19771, 19763, 19808
19951, 19951, 19775, 19829, 19860
20056, 20056, 19938, 18534, 18424
19846, 18278, 18168, 19774, 19846
19759, 19623, 19485, 19663, 19759
19937, 19937, 19801, 19418, 19457
19614, 19614, 19429, 19544, 19587
20522, 20522, 20335, 18933, 18889
19860, 19860, 19694, 18131, 18067
19657, 19657, 19494, 19582, 19621
20073, 20073, 19921, 19516, 19595
20255, 20255, 20096, 18634, 18533
20150, 20150, 19988, 19984, 20011
20056, 18503, 18401, 20009, 20056
20272, 20272, 20124, 20108, 20198
20183, 20183, 20016, 19862, 19952
19786, 19786, 19659, 19730, 19782
19905, 19905, 19738, 19726, 19819
20263, 20263, 20100, 19822, 19918
20093, 20093, 19958, 19445, 19556
20038, 20038, 19870, 19721, 19801
20317, 20317, 20134, 19765, 19905
19887, 18510, 18405, 19817, 19887
19822, 19806, 19607, 19778, 19822
20175, 18678, 18636, 20116, 20175
20135, 20135, 19965, 19995, 20049
19993, 19993, 19820, 19762, 19757
19911, 19747, 19581, 19840, 19911
19760, 19406, 19265, 19675, 19760
20053, 20053, 19939, 19949, 20023
19698, 17868, 17773, 19691, 19698
20066, 20066, 19897, 18463, 18380
20160, 20160, 20107, 19953, 20011
19688, 19688, 19520, 19531, 19566
20000, 20000, 19790, 19738, 19751
19876, 19876, 19713, 19706, 19778
19872, 19872, 19701, 19675, 19718
19856, 19780, 19649, 19856, 19847
20175, 20175, 20073, 19620, 19682
19666, 19666, 19584, 19484, 19503
19781, 19488, 19330, 19741, 19781
20038, 20038, 19897, 19897, 19973
19649, 19649, 19485, 19532, 19577
19843, 19843, 19675, 19593, 19671
20000, 19710, 19605, 19906, 20000
20177, 20177, 20075, 19678, 19766
19619, 19583, 19415, 19593, 19619
19852, 18390, 18395, 19748, 19852
19963, 19963, 19837, 19673, 19760
19770, 19770, 19625, 19602, 19644
19975, 19975, 19796, 19869, 19920
19619, 19607, 19486, 19551, 19619
19903, 19903, 19789, 19780, 19836
19752, 19688, 19529, 19651, 19752
20001, 20001, 19851, 19946, 19974
19804, 19780, 19623, 19734, 19804
19687, 19687, 19526, 19513, 19592
19797, 19797, 19667, 19686, 19760
19987, 18446, 18359, 19987, 19972
19921, 19921, 19769, 19646, 19687
19960, 19960, 19801, 19737, 19810
19883, 19585, 19484, 19795, 19883
19883, 18355, 18297, 19798, 19883
20714, 20714, 20600, 20504, 20591
19783, 18325, 18333, 19779, 19783
19731, 19731, 19585, 19571, 19616
20229, 20229, 20065, 19738, 19811
19645, 17879, 17769, 19600, 19645
20052, 20052, 19925, 19804, 19902
19891, 18456, 18368, 19813, 19891
19921, 19921, 19739, 19763, 19833
20072, 20072, 19902, 19967, 20049
20263, 20263, 20125, 18748, 18820
19958, 19950, 19775, 19856, 19958
20087, 20087, 19950, 19961, 19962
20474, 20474, 20240, 19822, 19911
20147, 18563, 18483, 20073, 20147
19818, 19818, 19680, 19597, 19676
20164, 20164, 19984, 19860, 19950
20198, 20198, 20038, 19635, 19729
20220, 20220, 20062, 19677, 19766
19869, 19869, 19715, 18483, 18435
19997, 19997, 19864, 19722, 19827
20126, 20126, 20037, 20023, 20098
20183, 18707, 18657, 20163, 20183
20332, 20332, 20126, 19774, 19837
20035, 18711, 18685, 19949, 20035
20023, 18227, 18292, 19949, 20023
20354, 20354, 20207, 20234, 20236
20258, 20255, 20072, 20178, 20258
20045, 19862, 19705, 19977, 20045
20245, 20185, 20027, 20190, 20245
20314, 20314, 20112, 20110, 20160
20225, 20225, 20095, 20009, 20098
20173, 20173, 19995, 19940, 20006
38221, 20101, 20089, 38208, 38221
20797, 20724, 20599, 20675, 20797
19916, 19882, 19725, 19877, 19916
19887, 19887, 19747, 19611, 19695
19644, 19644, 19496, 19523, 19602
20009, 20009, 19855, 18464, 18451
19822, 19822, 19677, 19662, 19742
19661, 19661, 19490, 19513, 19583
19733, 19689, 19518, 19649, 19733
19673, 19673, 19527, 19632, 19662
19860, 19860, 19735, 19767, 19810
20019, 20019, 19866, 19448, 19527
19815, 19815, 19690, 19678, 19742
19891, 19891, 19696, 19539, 19584
19981, 19981, 19780, 19486, 19545
19755, 19755, 19585, 19579, 19649
24106, 23490, 23361, 24106, 24006
19711, 19656, 19523, 19703, 19711
20096, 20096, 19912, 18456, 18454
19969, 19969, 19785, 19878, 19939
20153, 20153, 20005, 18652, 18570
19977, 19894, 19756, 19925, 19977
20020, 20020, 19977, 18476, 18467
20093, 20093, 19966, 18234, 18170
20073, 20073, 19927, 19581, 19636
20140, 20140, 20010, 18652, 18612
19772, 19772, 19621, 19700, 19769
20145, 20145, 20028, 18467, 18461
19899, 19899, 19846, 19730, 19792
19796, 19796, 19639, 19624, 19611
20140, 20140, 19926, 18467, 18404
19981, 19981, 19897, 18134, 18054
20398, 20398, 20331, 19878, 19892
19718, 19677, 19540, 19693, 19718
19981, 19981, 19876, 19751, 19828
20136, 20136, 19950, 18525, 18409
20113, 20066, 19981, 20011, 20113
19810, 19810, 19672, 19634, 19670
20166, 20166, 20014, 18642, 18581
19693, 19614, 19492, 19642, 19693
